-103.3	169.85	0.00039	1591.1	35.496	71.46	334.94	0.4126	1.9639	1.184	0.585	1.164	1120	126.8	2175	6.46	145.2	3.08	28.07	-103.3
-80	193.15	0.00367	1529	4.2682	99.16	348.83	0.5654	1.858	1.198	0.642	1.151	1002	134	1018	7.46	131.5	4.95	24.1	-80
-60	213.15	0.01591	1474.3	1.079	123.36	361.31	0.6846	1.801	1.223	0.692	1.146	903	139.4	663.1	8.3	120.7	6.56	20.8	-60
-40	233.15	0.05121	1417.7	0.36108	148.14	374	0.7956	1.7643	1.255	0.749	1.148	807	143.6	472.2	9.12	110.6	8.17	17.6	-40
-20	253.15	0.13273	1358.3	0.14739	173.64	386.55	0.9002	1.7413	1.293	0.816	1.158	714	146.3	353	9.92	101.1	9.82	14.51	-20
0	273.15	0.2928	1294.8	0.06931	200	398.6	1	1.7271	1.341	0.897	1.179	622	146.9	271.1	10.73	92	11.51	11.56	0
20	293.15	0.57171	1225.3	0.036	227.47	409.75	1.0962	1.718	1.405	1.001	1.219	530	145.1	210.7	11.58	83.3	13.33	8.76	20
40	313.15	1.0166	1146.7	0.01997	256.41	419.43	1.1905	1.7111	1.498	1.145	1.292	436	140.3	163.4	12.55	74.7	15.44	6.13	40
60	333.15	1.6818	1052.9	0.01144	287.5	426.63	1.2848	1.7024	1.66	1.387	1.448	340	131.7	124.2	13.79	66.1	18.31	3.72	60
80	353.15	2.6332	928.2	0.00645	322.39	428.81	1.3836	1.685	2.065	2.012	1.924	237	117.7	89	15.84	57.2	23.72	1.6	80
100	373.15	3.9724	651.2	0.00268	373.3	407.68	1.5188	1.6109	17.59	25.35	20.81	101	94	45.1	24.21	59.9	60.58	0.04	100
