-111.81	161.34	0.00107	1330.5	14.807	52.52	319.59	0.3142	1.9695	1.211	0.63	1.192	1058	137.6	912.1	5.91	137	4.9	13.72	-111.81
-110	163.15	0.00129	1326.2	12.43	54.71	320.68	0.3277	1.9579	1.212	0.635	1.191	1049	138.2	867.9	5.97	135.8	5	13.75	-110
-90	183.15	0.00761	1277.2	2.3596	79.13	333.06	0.4688	1.8553	1.233	0.694	1.181	954	144.9	553.4	6.72	123.5	6.1	13.71	-90
-70	203.15	0.02991	1226.7	0.65675	104.16	345.8	0.5984	1.7879	1.27	0.759	1.177	859	150.4	393	7.45	112.5	7.34	13.11	-70
-50	223.15	0.08874	1173.9	0.23754	130.05	358.58	0.7197	1.7438	1.318	0.833	1.182	764	154.2	294.9	8.19	102.5	8.73	12	-50
-30	243.15	0.21488	1117.9	0.10297	157	370.99	0.8348	1.7149	1.375	0.923	1.2	669	155.8	227.8	8.93	93.3	10.3	10.44	-30
-10	263.15	0.44823	1057.2	0.05056	185.27	382.54	0.9457	1.6953	1.449	1.038	1.237	573	154.8	178.4	9.87	84.7	12.13	8.53	-10
10	283.15	0.83628	989.1	0.02695	215.22	392.6	1.0539	1.6804	1.552	1.194	1.307	475	150.4	139.5	10.76	76.4	14.38	6.36	10
30	303.15	1.434	908.4	0.01501	247.56	400.07	1.1621	1.6652	1.722	1.449	1.457	374	141.9	107.2	11.91	68.3	17.67	4.07	30
50	323.15	2.3073	803	0.00831	283.9	402.43	1.2748	1.6416	2.118	2.07	1.894	263	127.9	78.3	13.69	60	24.16	1.85	50
70	343.15	3.5527	600.8	0.0037	333.19	385.42	1.4172	1.5694	7.72	11.5	9.04	122	104.2	45.1	19.3	53.2	55.97	0.11	70
