-118.59	154.56	0.00006	1192.9	303.29	13.79	419.32	0.1119	2.7357	1.477	0.699	1.22	1401	154	2025	5.2	176.3	0.1	31.65	-118.59
-100	173.15	0.00058	1158.7	37.617	41.75	432.59	0.2827	2.5399	1.518	0.74	1.207	1275	162	1153	5.81	163.4	1.91	28.58	-100
-80	193.15	0.00359	1121.3	6.7438	72.23	447.48	0.4492	2.392	1.53	0.789	1.196	1166	169.8	730.2	6.47	150.7	3.86	25.34	-80
-60	213.15	0.015	1083.2	1.7682	103.02	462.74	0.6009	2.2885	1.551	0.845	1.19	1066	176.6	507.4	7.14	139	5.82	22.18	-60
-40	233.15	0.04721	1043.8	0.60583	134.4	478.02	0.7414	2.2152	1.587	0.913	1.19	967	182.1	372.5	7.8	128.2	7.8	19.09	-40
-20	253.15	0.12068	1002.7	0.25131	166.64	492.94	0.8737	2.1627	1.635	0.994	1.199	870	185.8	282.9	8.48	118.2	9.82	16.1	-20
0	273.15	0.26399	959.1	0.11963	200	507.11	1	2.1243	1.697	1.094	1.218	772	187.4	219.7	9.16	108.9	11.93	13.2	0
20	293.15	0.51291	912	0.06286	234.77	520.09	1.1219	2.0952	1.776	1.217	1.253	673	186.4	173	9.87	100.1	14.18	10.41	20
40	313.15	0.90927	859.7	0.03536	271.35	531.28	1.2411	2.0711	1.885	1.381	1.315	572	182.3	137.1	10.66	91.7	16.74	7.75	40
60	333.15	1.5007	799.4	0.02074	310.38	539.72	1.3596	2.048	2.051	1.626	1.432	467	174.6	108.4	12	83.4	19.92	5.25	60
80	353.15	2.3424	725.2	0.01228	353.15	543.43	1.481	2.0198	2.37	2.092	1.702	356	162.2	84.1	13.52	75.2	24.69	2.96	80
100	373.15	3.505	618.5	0.00686	403.59	536.28	1.6151	1.9707	3.495	3.776	2.805	233	143.1	60.7	16.35	67	35.03	0.96	100
110	383.15	4.2432	517.4	0.00446	439.22	517.31	1.7058	1.9096	9.26	12.22	8.53	158	129.1	45.6	20.19	67.5	53.48	0.17	110
