-175	98.15	0.00001	643	3649.3	-201.26	384.73	-1.4643	4.506	2.288	1.184	1.305	1952	188.2	933.9	3.26	249.4	3.35	30.35	-175
-165	108.15	0.00005	632	555.95	-178.48	396.66	-1.2433	4.0747	2.273	1.204	1.298	1880	197	669	3.55	240.8	3.93	28.67	-165
-155	118.15	0.00027	621	120.95	-155.73	408.76	-1.0421	3.7356	2.278	1.226	1.292	1808	205.4	508.5	3.84	231.6	4.54	26.99	-155
-145	128.15	0.00103	609.9	34.435	-132.89	421	-0.8566	3.4657	2.29	1.251	1.287	1735	213.3	403.6	4.14	222.1	5.18	25.31	-145
-135	138.15	0.00316	598.7	12.06	-109.9	433.34	-0.6839	3.2484	2.308	1.279	1.282	1663	220.7	330.8	4.44	212.4	5.84	23.64	-135
-125	148.15	0.00821	587.3	4.9668	-86.72	445.71	-0.5219	3.0719	2.328	1.307	1.278	1589	227.6	277.8	4.74	202.5	6.54	21.98	-125
-115	158.15	0.01863	575.7	2.3254	-63.31	458.04	-0.3691	2.9274	2.353	1.333	1.277	1515	234	237.6	5.05	192.7	7.28	20.33	-115
-105	168.15	0.03793	563.9	1.206	-39.62	470.2	-0.2241	2.8078	2.381	1.362	1.278	1440	239.7	206	5.36	182.8	8.07	18.69	-105
-95	178.15	0.07068	551.8	0.679	-15.61	482.04	-0.0858	2.7076	2.415	1.401	1.282	1365	244.7	180.4	5.68	173.1	8.92	17.07	-95
-85	188.15	0.12243	539.3	0.40856	8.79	493.42	0.0469	2.6227	2.455	1.454	1.29	1288	248.8	159.2	6	163.6	9.83	15.46	-85
-76	197.15	0.19055	527.7	0.27094	31.13	503.2	0.1623	2.5567	2.497	1.515	1.3	1218	251.6	143	6.3	155.2	10.72	14.04	-76
-66	207.15	0.29668	514.4	0.17909	56.48	513.44	0.2867	2.4926	2.554	1.596	1.315	1140	253.6	127.3	6.63	146	11.79	12.47	-66
-56	217.15	0.44223	500.4	0.12279	82.47	522.93	0.4078	2.4362	2.623	1.691	1.336	1060	254.6	113.6	6.99	137.1	12.96	10.94	-56
-46	227.15	0.63529	485.7	0.08671	109.22	531.52	0.5265	2.3856	2.707	1.8	1.366	979	254.4	101.5	7.36	128.4	14.26	9.44	-46
-36	237.15	0.88433	470	0.06269	136.91	539	0.6435	2.339	2.812	1.932	1.408	897	252.8	90.7	7.76	119.9	15.73	7.97	-36
-26	247.15	1.1982	453.1	0.04614	165.72	545.1	0.7597	2.2947	2.948	2.102	1.469	813	249.9	80.8	8.2	111.6	17.4	6.55	-26
-16	257.15	1.5863	434.7	0.03439	195.95	549.41	0.8761	2.2507	3.13	2.334	1.561	726	245.4	71.8	8.71	103.5	19.38	5.18	-16
-6	267.15	2.0585	414.1	0.02579	228.02	551.35	0.9942	2.2045	3.393	2.681	1.706	635	239.2	63.3	9.33	95.6	21.84	3.88	-6
5	278.15	2.6883	387.7	0.01874	266.27	549.46	1.1287	2.1468	3.871	3.352	2.001	531	229.9	54.3	10.2	86.9	25.53	2.54	5
15	288.15	3.3755	357.9	0.01377	305.36	541.71	1.2602	2.0804	4.773	4.713	2.611	427	218.9	46.2	11.34	79	30.9	1.43	15
25	298.15	4.1903	315	0.00952	353.26	521.2	1.4152	1.9785	8.05	10.02	4.96	302	204.1	37	13.38	72	42.79	0.48	25
30	303.15	4.6551	276.3	0.00723	388.24	494.95	1.5263	1.8783	21.69	32.79	14.35	220	192	30.6	15.75	74.9	64.07	0.11	30
