-80	193.15	0.00013	1709.6	83.667	123.92	335.98	0.6712	1.7691	0.924	0.52	1.117	1133	108.3	2093	6.68	107.4	3.22	28.42	-80
-60	213.15	0.00081	1665.1	14.333	142.46	346.66	0.7625	1.7206	0.932	0.553	1.11	1049	113.3	1383	7.5	102	4.35	25.78	-60
-40	233.15	0.00358	1620	3.5319	161.25	357.88	0.8468	1.6901	0.948	0.585	1.105	964	117.9	986.4	8.31	96.1	5.49	23.19	-40
-20	253.15	0.012	1573.8	1.1364	180.41	369.52	0.9256	1.6726	0.968	0.617	1.102	881	122	735.4	9.09	89.8	6.61	20.66	-20
0	273.15	0.03265	1526.1	0.44609	200	381.44	1	1.6642	0.99	0.651	1.102	801	125.4	564.6	9.84	83.7	7.74	18.18	0
20	293.15	0.07561	1476.6	0.20338	220.05	393.49	1.0707	1.6624	1.014	0.686	1.106	723	128	442.6	10.56	77.8	8.89	15.77	20
40	313.15	0.15447	1424.8	0.10385	240.59	405.54	1.1383	1.6651	1.038	0.724	1.113	647	129.5	352.4	11.26	72.4	10.08	13.43	40
60	333.15	0.28589	1370	0.05777	261.67	417.4	1.2033	1.6707	1.066	0.767	1.126	573	129.6	283.9	11.94	67.3	11.34	11.16	60
80	353.15	0.48909	1311.2	0.03426	283.35	428.89	1.266	1.6781	1.1	0.816	1.147	500	128.3	230.5	12.63	62.6	12.73	8.97	80
100	373.15	0.78553	1246.9	0.02128	305.77	439.77	1.3271	1.6862	1.143	0.878	1.182	427	125.1	188.1	13.37	58.2	14.29	6.89	100
120	393.15	1.199	1174.4	0.01361	329.15	449.67	1.3872	1.6938	1.207	0.964	1.243	354	119.8	153.4	14.29	53.9	16.14	4.91	120
140	413.15	1.7563	1088.3	0.00879	353.92	457.94	1.4475	1.6992	1.318	1.111	1.369	279	111.5	123.8	15.65	49.5	18.44	3.09	140
160	433.15	2.4901	975.7	0.00555	381.13	463.01	1.5101	1.6991	1.584	1.473	1.726	198	99.3	96.8	18.19	44.8	21.63	1.45	160
180	453.15	3.4506	765.9	0.00292	416.22	456.82	1.5867	1.6763	4.549	5.661	6.158	102	80.6	64.3	26.59	39.7	28.82	0.15	180
