-100	173.15	0.00024	1714.6	44.375	98.87	302.29	0.5417	1.7165	0.953	0.534	1.129	1052	109.1	1964	6.66	111.8	4.81	26.1	-100
-80	193.15	0.00169	1662.3	6.9645	118.13	313.21	0.6469	1.6569	0.972	0.569	1.122	963	114.6	1215	7.45	105.4	5.74	23.3	-80
-60	213.15	0.00779	1609.1	1.656	137.8	324.62	0.7437	1.6202	0.995	0.605	1.117	875	119.6	829	8.23	98.5	6.74	20.56	-60
-40	233.15	0.02642	1554.3	0.52863	157.95	336.36	0.834	1.5993	1.02	0.644	1.116	790	123.8	600.9	9.01	91.3	7.82	17.88	-40
-20	253.15	0.07145	1497.3	0.20856	178.66	348.23	0.9191	1.589	1.049	0.688	1.12	706	126.9	452.4	9.78	84.1	8.98	15.26	-20
0	273.15	0.16303	1437	0.09593	200	360.02	1	1.5858	1.083	0.74	1.131	625	128.6	348.8	10.55	77	10.22	12.72	0
20	293.15	0.32692	1372.4	0.04932	222.09	371.51	1.0776	1.5873	1.123	0.802	1.15	545	128.5	273.1	11.36	70.1	11.61	10.26	20
40	313.15	0.59345	1301.6	0.02743	245.07	382.41	1.1528	1.5913	1.174	0.878	1.185	465	126.3	215.4	12.25	63.5	13.23	7.9	40
60	333.15	0.99695	1221.8	0.01607	269.2	392.33	1.2265	1.596	1.246	0.984	1.247	385	121.5	169.9	13.4	57.5	15.32	5.65	60
80	353.15	1.5764	1127	0.00965	294.95	400.52	1.3001	1.599	1.368	1.16	1.379	300	113.4	132.3	15.01	51.9	18.36	3.54	80
100	373.15	2.3787	1001.8	0.00569	323.5	405.2	1.3766	1.5955	1.665	1.607	1.773	207	100.7	98.4	17.75	47	23.73	1.64	100
120	393.15	3.4739	749.1	0.00267	361.94	395.71	1.4734	1.5593	6.828	9.976	9.676	93	80.2	57.3	26.73	48.2	44.96	0.11	120
