-100	173.15	0.00309	1688.7	3.8709	87.78	277.74	0.494	1.5911	1.035	0.57	1.141	929	116.6	1134	7.46	115.7	5.28	21.69	-100
-80	193.15	0.01547	1623.4	0.85534	108.7	289.06	0.6082	1.5421	1.058	0.615	1.136	827	121.9	720.6	8.34	106.3	6.58	18.5	-80
-60	213.15	0.05432	1555.7	0.26432	130.19	300.6	0.714	1.5135	1.091	0.664	1.138	731	126	499.3	9.2	96.8	7.92	15.41	-60
-40	233.15	0.1483	1484	0.10283	152.44	312.03	0.8134	1.498	1.132	0.722	1.148	636	128.3	362.8	10.06	87.6	9.32	12.44	-40
-20	253.15	0.33733	1406.4	0.04688	175.62	323.03	0.9083	1.4906	1.184	0.791	1.17	542	128.5	270.5	10.93	78.5	10.81	9.6	-20
0	273.15	0.67052	1319.8	0.02377	200	333.16	1	1.4875	1.255	0.88	1.215	448	125.8	203.7	11.89	69.8	12.5	6.91	0
20	293.15	1.2052	1218.3	0.01283	226.02	341.58	1.0904	1.4846	1.367	1.023	1.318	352	119.6	152.2	13.1	61.5	14.69	4.42	20
40	313.15	2.0085	1088.4	0.00702	254.67	346.69	1.1826	1.4764	1.605	1.372	1.606	251	108.6	109.4	15.03	53.3	18.37	2.18	40
60	333.15	3.1703	872.1	0.0034	290.1	342.21	1.2884	1.4448	3.139	3.833	3.889	132	89.8	67.1	20.27	45.9	30.44	0.36	60
64	337.15	3.4602	777.5	0.00265	300.86	335.77	1.3195	1.423	7.17	10.29	9.9	100	84.4	54.8	23.9	47.8	41.79	0.09	64
