-150	123.15	0.00001	727.9	2789.3	-117.02	419.51	-0.6521	3.7046	1.834	0.991	1.249	1834	174.3	1324	3.51	179.9	4.6	33.49	-150
-140	133.15	0.00005	716.3	583.08	-98.37	429.53	-0.5066	3.4582	1.893	1.015	1.242	1754	180.7	945.7	3.79	177.6	5.07	31.76	-140
-130	143.15	0.00018	704.9	156.04	-79.2	439.78	-0.3677	3.2577	1.939	1.039	1.235	1683	186.9	718.7	4.06	175	5.55	30.05	-130
-120	153.15	0.00059	693.6	50.847	-59.62	450.25	-0.2356	3.0936	1.974	1.064	1.229	1617	192.7	571.2	4.34	172.2	6.06	28.36	-120
-110	163.15	0.00166	682.2	19.423	-39.73	460.91	-0.1098	2.9588	2.002	1.09	1.223	1554	198.3	468.9	4.62	169.1	6.6	26.69	-110
-100	173.15	0.00404	670.8	8.4442	-19.59	471.73	0.01	2.8475	2.026	1.118	1.218	1493	203.5	394.1	4.9	165.8	7.16	25.04	-100
-90	183.15	0.00881	659.4	4.0825	0.8	482.68	0.1244	2.7555	2.05	1.149	1.214	1432	208.4	337.1	5.18	162.3	7.75	23.41	-90
-80	193.15	0.01754	647.8	2.1547	21.43	493.72	0.2341	2.6793	2.075	1.183	1.211	1370	212.9	292.2	5.46	158.6	8.36	21.8	-80
-70	203.15	0.03232	636.1	1.2231	42.34	504.79	0.3395	2.6159	2.103	1.22	1.209	1309	216.9	255.9	5.73	154.7	9.01	20.22	-70
-60	213.15	0.05578	624.1	0.73772	63.55	515.84	0.4412	2.5631	2.135	1.263	1.209	1247	220.4	226.1	6.01	150.6	9.69	18.66	-60
-50	223.15	0.09111	611.9	0.46816	85.11	526.79	0.5398	2.5191	2.171	1.309	1.211	1184	223.4	201.1	6.29	146.4	10.4	17.14	-50
-40	233.15	0.14192	599.4	0.31004	107.06	537.59	0.6356	2.4822	2.212	1.362	1.215	1120	225.7	179.9	6.57	142.1	11.17	15.63	-40
-30	243.15	0.21228	586.5	0.21282	129.47	548.17	0.7292	2.4512	2.259	1.421	1.221	1056	227.3	161.7	6.86	137.6	11.99	14.16	-30
-20	253.15	0.30657	573.1	0.15056	152.38	558.46	0.8209	2.425	2.311	1.487	1.231	991	228.2	145.9	7.17	132.9	12.89	12.72	-20
-10	263.15	0.42947	559.2	0.10924	175.87	568.37	0.9111	2.4026	2.372	1.562	1.245	925	228.2	132.1	7.49	128.2	13.89	11.31	-10
0	273.15	0.58588	544.6	0.08094	200	577.82	1	2.3832	2.441	1.648	1.264	860	227.4	119.9	7.84	123.3	15.02	9.94	0
10	283.15	0.78091	529.3	0.06102	224.86	586.69	1.0881	2.366	2.521	1.748	1.289	794	225.5	109	8.23	118.3	16.33	8.6	10
20	293.15	1.0199	513	0.04664	250.55	594.84	1.1756	2.3501	2.615	1.867	1.324	727	222.6	99.1	8.67	113.3	17.88	7.31	20
30	303.15	1.3084	495.6	0.03602	277.21	602.08	1.2631	2.3348	2.731	2.015	1.373	661	218.5	90	9.17	108.1	19.74	6.06	30
40	313.15	1.6523	476.7	0.02801	305.01	608.15	1.351	2.3191	2.878	2.206	1.443	593	213.1	81.6	9.77	102.9	22	4.86	40
50	323.15	2.0579	455.8	0.02183	334.21	612.65	1.4401	2.3017	3.078	2.469	1.549	524	206.2	73.6	10.52	97.6	24.88	3.73	50
60	333.15	2.5325	432.1	0.01696	365.26	614.95	1.5315	2.2809	3.38	2.868	1.723	452	197.7	65.8	11.49	92.2	28.67	2.65	60
70	343.15	3.0842	404.1	0.01302	399.01	613.87	1.6273	2.2535	3.921	3.578	2.055	377	187.4	57.9	12.83	86.6	33.94	1.67	70
80	353.15	3.7238	367.5	0.00967	437.66	606.61	1.7335	2.212	5.315	5.332	2.918	294	174.7	49.1	14.9	81.1	42.14	0.79	80
90	363.15	4.4668	298.9	0.0063	493.45	579.55	1.8829	2.12	20.39	21.47	11.11	195	159.2	36.3	19.59	81.9	64.05	0.1	90
