-150	123.15	0.00001	694.6	4316.4	-123.78	402.06	-0.6903	3.5796	1.962	1.02	1.227	1880	168.8	1343	3.55	192.9	3.68	31.84	-150
-130	143.15	0.00012	674.4	223.53	-84.23	423.12	-0.3929	3.1514	1.994	1.087	1.21	1745	180.7	761.7	4.05	182.2	4.9	28.76	-130
-110	163.15	0.00116	654	26.386	-43.99	445.38	-0.1298	2.8697	2.032	1.151	1.197	1612	191.7	505	4.56	170.4	6.23	25.73	-110
-90	183.15	0.00645	633.3	5.33	-2.9	468.58	0.1077	2.682	2.078	1.22	1.188	1478	201.5	364.5	5.08	158.2	7.67	22.74	-90
-70	203.15	0.0244	612	1.5487	39.25	492.41	0.3259	2.5566	2.137	1.3	1.182	1345	209.9	276.4	5.6	145.9	9.22	19.81	-70
-50	223.15	0.07057	589.9	0.57905	82.75	516.48	0.5298	2.4734	2.212	1.397	1.182	1213	216.5	216	6.11	133.8	10.88	16.94	-50
-30	243.15	0.16783	566.6	0.25861	127.97	540.38	0.7231	2.4192	2.305	1.513	1.188	1082	220.6	172.3	6.62	122.2	12.67	14.15	-30
-10	263.15	0.34528	541.8	0.13103	175.35	563.65	0.909	2.3846	2.423	1.655	1.205	951	221.9	139.3	7.16	111.2	14.65	11.45	-10
10	283.15	0.6366	514.7	0.07255	225.4	585.67	1.0902	2.3626	2.573	1.835	1.237	819	219.8	113.3	7.75	100.9	16.93	8.85	10
30	303.15	1.079	484.4	0.04264	278.83	605.54	1.2695	2.3471	2.777	2.088	1.298	685	213.5	92.2	8.46	91.4	19.72	6.38	30
50	323.15	1.7133	448.9	0.02589	336.8	621.66	1.4502	2.3317	3.089	2.499	1.425	547	202.2	74.1	9.4	82.6	23.47	4.09	50
70	343.15	2.5868	403.6	0.01565	401.75	630.37	1.6389	2.3052	3.735	3.421	1.773	398	184	57.4	10.86	74.3	29.41	2.03	70
90	363.15	3.7641	328.8	0.0084	483.71	616.47	1.8616	2.2272	7.623	9.888	4.374	218	155.5	38.8	14.28	67.1	46.66	0.36	90
95	368.15	4.1195	286.5	0.0064	516.33	595.81	1.9476	2.1635	23.59	36.07	14.62	158	144.1	31.4	17	73.6	69.48	0.06	95
