-100	173.15	0.00016	699.3	150.44	-13.65	450.85	0.0318	2.7144	2.013	1.231	1.132	1592	167.4	792.2	4.3	161.6	6.83	28.03	-100
-90	183.15	0.00045	689.9	57.588	6.56	463.27	0.1453	2.6389	2.029	1.263	1.128	1534	171.8	655.9	4.55	157.2	7.43	26.64	-90
-80	193.15	0.00111	680.5	24.773	26.94	475.97	0.2536	2.5784	2.048	1.295	1.125	1477	176.1	553.2	4.81	152.6	8.05	25.26	-80
-70	203.15	0.00247	671	11.752	47.53	488.92	0.3575	2.5303	2.069	1.33	1.122	1420	180.1	473.4	5.06	147.9	8.71	23.89	-70
-60	213.15	0.00501	661.4	6.0558	68.34	502.13	0.4575	2.4926	2.094	1.366	1.12	1364	184	409.8	5.31	143.1	9.4	22.54	-60
-50	223.15	0.00947	651.7	3.347	89.42	515.56	0.5541	2.4638	2.122	1.404	1.118	1309	187.5	358.3	5.55	138.4	10.11	21.21	-50
-40	233.15	0.01679	641.9	1.9638	110.8	529.19	0.6478	2.4423	2.153	1.446	1.117	1253	190.8	315.8	5.8	133.6	10.86	19.9	-40
-30	243.15	0.02821	631.9	1.2127	132.52	543.01	0.7389	2.4271	2.188	1.49	1.116	1198	193.8	280.3	6.04	128.9	11.64	18.6	-30
-20	253.15	0.04521	621.7	0.78237	154.6	556.98	0.8278	2.4173	2.226	1.538	1.116	1144	196.3	250.3	6.28	124.3	12.46	17.32	-20
-10	263.15	0.06955	611.4	0.52415	177.08	571.08	0.9147	2.412	2.267	1.589	1.117	1089	198.5	224.7	6.53	119.8	13.3	16.06	-10
0	273.15	0.10323	600.7	0.36275	200	585.27	1	2.4105	2.312	1.644	1.119	1035	200.2	202.5	6.77	115.3	14.19	14.82	0
10	283.15	0.14845	589.8	0.25817	223.4	599.53	1.0838	2.4122	2.36	1.702	1.122	981	201.4	183.2	7.01	111	15.11	13.6	10
20	293.15	0.20765	578.6	0.18823	247.3	613.8	1.1665	2.4167	2.413	1.765	1.127	928	202	166.2	7.26	106.7	16.09	12.41	20
30	303.15	0.28341	567	0.14012	271.76	628.06	1.2481	2.4234	2.47	1.833	1.133	874	202.1	151.1	7.52	102.7	17.11	11.24	30
40	313.15	0.37849	554.9	0.10618	296.82	642.25	1.3288	2.4319	2.531	1.906	1.141	820	201.5	137.6	7.79	98.7	18.21	10.09	40
50	323.15	0.49575	542.3	0.0817	322.51	656.32	1.4089	2.4419	2.598	1.986	1.151	767	200.2	125.4	8.07	94.9	19.38	8.97	50
60	333.15	0.63824	529.1	0.06366	348.91	670.19	1.4885	2.4529	2.673	2.075	1.165	713	198.1	114.3	8.38	91.3	20.64	7.87	60
70	343.15	0.80908	515.2	0.05012	376.06	683.77	1.5679	2.4646	2.756	2.174	1.183	658	195.1	104.1	8.71	87.8	22.03	6.81	70
80	353.15	1.0116	500.4	0.03978	404.06	696.94	1.6471	2.4765	2.851	2.288	1.207	603	191.2	94.7	9.08	84.5	23.56	5.78	80
90	363.15	1.2493	484.5	0.03175	433	709.53	1.7266	2.4881	2.964	2.425	1.241	546	186.1	85.8	9.51	81.3	25.28	4.79	90
100	373.15	1.5259	467.1	0.02541	463.03	721.29	1.8066	2.4987	3.102	2.599	1.29	488	179.8	77.4	10.01	78.2	27.26	3.84	100
110	383.15	1.8456	447.9	0.02032	494.36	731.87	1.8876	2.5075	3.285	2.841	1.366	428	172	69.3	10.61	75.3	29.6	2.93	110
120	393.15	2.2131	425.9	0.01615	527.34	740.69	1.9704	2.5131	3.552	3.213	1.492	364	162.5	61.4	11.37	72.5	32.5	2.08	120
130	403.15	2.6344	399.6	0.01264	562.68	746.7	2.0566	2.513	4.023	3.891	1.739	296	150.8	53.4	12.39	69.8	36.44	1.3	130
140	413.15	3.1172	364.7	0.00953	602.17	747.29	2.1502	2.5015	5.227	5.631	2.405	222	136.5	44.7	13.97	67.3	42.94	0.6	140
150	423.15	3.6746	297.7	0.00621	656.27	729.01	2.2755	2.4474	19.8	25.55	10.14	136	117.8	32.5	17.87	73	67.32	0.06	150
