-100	173.15	0.00038	683.9	65.234	-6.4	428.19	0.0671	2.577	1.878	1.131	1.145	1558	168.3	936.5	4.4	140	6.03	25.52	-100
-90	183.15	0.00098	674.2	26.648	12.55	439.62	0.1734	2.5052	1.911	1.171	1.14	1494	172.6	753.2	4.65	136	6.76	24.24	-90
-80	193.15	0.00227	664.5	12.14	31.82	451.39	0.2759	2.4481	1.944	1.212	1.136	1431	176.7	619.2	4.91	131.9	7.5	22.96	-80
-70	203.15	0.00478	654.6	6.0592	51.44	463.48	0.3749	2.4031	1.979	1.254	1.132	1370	180.6	518.1	5.16	127.7	8.27	21.68	-70
-60	213.15	0.00927	644.6	3.2662	71.41	475.86	0.4708	2.3683	2.015	1.298	1.129	1309	184.2	439.8	5.41	123.5	9.06	20.41	-60
-50	223.15	0.0168	634.4	1.8792	91.76	488.49	0.564	2.3419	2.054	1.344	1.126	1250	187.5	377.6	5.65	119.2	9.88	19.16	-50
-40	233.15	0.0287	624.1	1.1427	112.51	501.35	0.6549	2.3227	2.094	1.393	1.125	1191	190.4	327.4	5.9	115	10.71	17.91	-40
-30	243.15	0.04662	613.6	0.72839	133.68	514.4	0.7437	2.3095	2.137	1.444	1.125	1133	193	286.2	6.14	110.8	11.57	16.67	-30
-20	253.15	0.07248	602.9	0.48339	155.3	527.61	0.8306	2.3013	2.182	1.499	1.125	1075	195.1	251.9	6.38	106.6	12.45	15.44	-20
-10	263.15	0.10845	591.9	0.33204	177.4	540.93	0.916	2.2975	2.231	1.557	1.127	1018	196.8	223.1	6.62	102.6	13.36	14.23	-10
0	273.15	0.15696	580.6	0.23491	200	554.34	1	2.2972	2.283	1.619	1.13	961	197.9	198.6	6.86	98.6	14.3	13.03	0
10	283.15	0.22061	568.9	0.17044	223.15	567.78	1.0828	2.3	2.338	1.686	1.135	905	198.4	177.5	7.11	94.8	15.27	11.84	10
20	293.15	0.30222	556.9	0.12637	246.88	581.21	1.1647	2.3051	2.398	1.757	1.141	849	198.2	159.3	7.37	91.1	16.29	10.68	20
30	303.15	0.40472	544.3	0.09542	271.24	594.57	1.2458	2.3123	2.463	1.835	1.15	793	197.4	143.4	7.63	87.5	17.37	9.53	30
40	313.15	0.53121	531.2	0.07317	296.28	607.8	1.3263	2.3211	2.535	1.921	1.162	736	195.8	129.4	7.91	84.1	18.52	8.41	40
50	323.15	0.6849	517.4	0.05683	322.06	620.82	1.4064	2.3309	2.615	2.017	1.178	680	193.3	116.9	8.22	80.8	19.78	7.31	50
60	333.15	0.86916	502.7	0.04459	348.66	633.53	1.4863	2.3414	2.706	2.125	1.199	622	189.9	105.6	8.56	77.6	21.16	6.24	60
70	343.15	1.0875	487	0.03525	376.17	645.77	1.5664	2.352	2.812	2.252	1.229	564	185.4	95.2	8.94	74.6	22.72	5.21	70
80	353.15	1.3438	469.9	0.02799	404.73	657.31	1.6469	2.3621	2.942	2.409	1.272	505	179.7	85.6	9.39	71.8	24.53	4.21	80
90	363.15	1.642	451.1	0.02226	434.54	667.86	1.7283	2.3708	3.11	2.625	1.338	444	172.6	76.6	9.95	69.1	26.7	3.26	90
100	373.15	1.9865	429.6	0.01764	465.9	676.94	1.8114	2.3769	3.347	2.951	1.447	381	163.8	67.8	10.65	66.6	29.44	2.36	100
110	383.15	2.3826	404.3	0.01383	499.39	683.74	1.8974	2.3785	3.736	3.517	1.65	313	153.1	59	11.62	64.2	33.18	1.53	110
120	393.15	2.8366	372	0.01056	536.26	686.46	1.9893	2.3714	4.585	4.806	2.139	240	139.9	49.8	13.09	62.2	39.05	0.78	120
130	403.15	3.3578	321	0.00742	581.26	678.44	2.0985	2.3396	8.91	11.56	4.77	156	123	38.5	15.99	63.3	52.88	0.18	130
