-100	173.15	0.00119	1679.1	10.004	113.32	306.09	0.6077	1.721	0.819	0.449	1.182	1035	118.5	1005	6.78	116.7	4.27	26.48	-100
-80	193.15	0.00619	1626.3	2.1355	129.81	315.19	0.6978	1.6576	0.831	0.481	1.172	945	124.1	684.9	7.58	107.4	5.08	23.35	-80
-60	213.15	0.02261	1572.3	0.63992	146.62	324.61	0.7806	1.6156	0.85	0.513	1.166	859	129.1	505.1	8.37	98.8	5.93	20.3	-60
-40	233.15	0.06409	1516.5	0.24342	163.86	334.18	0.8577	1.5882	0.873	0.548	1.166	775	133	389.8	9.16	90.7	6.84	17.35	-40
-20	253.15	0.1507	1458.1	0.10978	181.62	343.65	0.9305	1.5706	0.901	0.586	1.174	693	135.6	309	9.95	83.1	7.8	14.5	-20
-10	263.15	0.21878	1427.6	0.07737	190.72	348.29	0.9656	1.5644	0.917	0.607	1.181	652	136.4	276.9	10.34	79.4	8.31	13.12	-10
0	273.15	0.30815	1396.1	0.05595	200	352.81	1	1.5594	0.934	0.63	1.191	612	136.7	248.7	10.74	75.9	8.84	11.77	0
20	293.15	0.56642	1328.9	0.03112	219.14	361.36	1.0669	1.5521	0.976	0.685	1.223	532	135.9	201.4	11.57	68.9	9.98	9.17	20
40	313.15	0.95882	1254.3	0.01838	239.22	368.96	1.1322	1.5465	1.033	0.759	1.282	450	132.8	162.5	12.48	62.1	11.33	6.72	40
60	333.15	1.5219	1168.1	0.01124	260.58	375.05	1.1969	1.5404	1.122	0.876	1.397	366	127	129.1	13.57	55.3	13.08	4.44	60
80	353.15	2.2975	1061.4	0.00691	283.94	378.48	1.2629	1.5306	1.302	1.122	1.677	274	117.7	98.6	15.11	48.7	15.8	2.4	80
100	373.15	3.3399	903.8	0.00396	311.58	375.6	1.336	1.5076	1.996	2.192	2.99	169	103.7	67.3	18.2	45.7	22.27	0.69	100
110	383.15	3.9924	742.7	0.00252	331.82	363.95	1.3874	1.4712	7.81	11.44	14.14	105	94	46.3	23.46	113.7	39.46	0.07	110
