-136.81	136.34	0.00005	1429.3	453.85	-19.07	444.31	-0.105	3.2937	1.592	0.66	1.321	1414	169.6	1226	5.7	242.9	6.95	39.01	-136.81
-120	153.15	0.00048	1388.4	51.184	7.52	455.33	0.079	3.003	1.573	0.674	1.315	1326	179.2	811.8	6.39	236.1	7.02	35.23	-120
-100	173.15	0.00381	1339	7.222	38.83	468.31	0.2711	2.7515	1.56	0.703	1.31	1221	189.5	556.1	7.22	224.3	7.27	30.83	-100
-80	193.15	0.01865	1288.4	1.6316	70.02	480.72	0.4415	2.5679	1.561	0.754	1.311	1118	198.3	406.4	8.06	210	7.68	26.56	-80
-60	213.15	0.06496	1235.7	0.50786	101.38	492.11	0.5958	2.4289	1.576	0.833	1.32	1014	205.1	308.2	8.91	194.2	8.28	22.42	-60
-40	233.15	0.17741	1180.2	0.19743	133.23	502.02	0.7382	2.32	1.608	0.94	1.343	910	209.7	239.4	9.75	177.8	9.1	18.44	-40
-20	253.15	0.40575	1120.6	0.08963	165.94	509.97	0.872	2.231	1.661	1.075	1.389	805	211.7	188.9	10.61	161.3	10.19	14.61	-20
0	273.15	0.8131	1055.3	0.04527	200	515.3	1	2.1543	1.745	1.251	1.47	697	210.5	150.6	11.51	145.3	11.73	10.99	0
20	293.15	1.4746	981.4	0.02448	236.12	516.9	1.1253	2.0831	1.886	1.514	1.622	584	205.6	120.3	12.86	129.7	14.16	7.59	20
40	313.15	2.4783	893	0.01365	275.61	512.71	1.252	2.0091	2.163	2.001	1.948	461	196.2	94.9	14.44	114.6	18.65	4.47	40
60	333.15	3.9332	773.3	0.0074	321.93	497.44	1.3898	1.9166	3.001	3.441	2.987	320	180.4	71.4	17.09	99.4	29.55	1.76	60
75	348.15	5.4168	605.9	0.00391	372.39	461.72	1.5314	1.788	10.13	15.6	11.72	186	159.6	49.5	22.56	91.5	62.91	0.19	75
