-100	173.15	0.00201	1571.3	8.266	90.71	358.97	0.505	2.0543	1.061	0.497	1.243	1127	143.6	845.8	7.25	143.1	4.46	28.12	-100
-80	193.15	0.01037	1518.2	1.7782	111.94	368.77	0.621	1.9508	1.062	0.528	1.233	1033	150.3	591	8.09	132.6	5.25	24.63	-80
-60	213.15	0.0375	1463.7	0.5368	133.27	378.59	0.726	1.877	1.071	0.564	1.23	940	156	441.4	8.94	122.6	6.12	21.24	-60
-40	233.15	0.10523	1406.8	0.20521	154.89	388.13	0.8227	1.8231	1.091	0.608	1.237	847	160.3	342.6	9.79	113.1	7.09	17.94	-40
-30	243.15	0.16389	1377.2	0.13553	165.88	392.69	0.8687	1.8015	1.105	0.635	1.244	800	161.8	304.6	10.21	108.5	7.61	16.34	-30
-20	253.15	0.24531	1346.5	0.09268	177.04	397.06	0.9135	1.7826	1.123	0.665	1.255	754	162.8	271.9	10.63	103.9	8.17	14.76	-20
-10	263.15	0.35479	1314.7	0.06527	188.4	401.2	0.9572	1.7658	1.144	0.699	1.27	707	163.3	243.4	11.06	99.3	8.77	13.21	-10
0	273.15	0.49799	1281.5	0.0471	200	405.05	1	1.7507	1.169	0.739	1.291	660	163.3	218.2	11.5	94.8	9.42	11.7	0
10	283.15	0.68095	1246.7	0.0347	211.87	408.56	1.0422	1.7368	1.199	0.785	1.319	613	162.6	195.7	11.96	90.4	10.14	10.22	10
20	293.15	0.91002	1209.9	0.02599	224.06	411.66	1.0838	1.7238	1.236	0.84	1.357	565	161.3	175.3	12.43	85.9	10.95	8.78	20
30	303.15	1.1919	1170.7	0.01972	236.62	414.26	1.1252	1.7111	1.281	0.908	1.408	517	159.2	156.7	12.95	81.4	11.89	7.38	30
40	313.15	1.5336	1128.5	0.01511	249.65	416.25	1.1665	1.6985	1.339	0.995	1.48	468	156.4	139.4	13.52	76.9	13.02	6.04	40
50	323.15	1.9427	1082.3	0.01163	263.25	417.44	1.208	1.6852	1.419	1.113	1.586	417	152.6	123.1	14.18	72.3	14.45	4.74	50
60	333.15	2.4275	1030.4	0.00896	277.61	417.55	1.2504	1.6705	1.539	1.287	1.755	364	147.7	107.6	14.98	67.6	16.36	3.51	60
70	343.15	2.9974	969.7	0.00685	293.1	416.09	1.2945	1.6529	1.743	1.584	2.056	309	141.7	92.4	16.02	62.9	19.16	2.36	70
80	353.15	3.6638	893.7	0.00512	310.44	412.01	1.3423	1.6299	2.181	2.231	2.735	249	134.2	76.6	17.55	58.6	23.87	1.3	80
90	363.15	4.4423	780.1	0.00356	332.09	401.87	1.4001	1.5922	3.981	4.975	5.626	177	124.6	58.3	20.48	59.3	34.55	0.4	90
95	368.15	4.8824	662.9	0.00262	349.56	387.28	1.4462	1.5486	17.31	25.29	26.43	128	118	44.4	24.76	83.5	59.15	0.05	95
