-155.13	118.02	0.00006	1701.9	241.36	-3.67	289.21	-0.0705	2.4111	1.221	0.5	1.315	1211	135.7	2055	5.35	268.6	3.8	34.37	-155.13
-130	143.15	0.00206	1617.9	8.2194	26.48	301.56	0.1612	2.0828	1.195	0.541	1.297	1092	147.9	845.9	6.8	198.2	5.15	28.35	-130
-110	163.15	0.01447	1548.2	1.3219	50.47	311.27	0.3179	1.9165	1.205	0.593	1.289	976	156	514.4	7.93	165.3	6.25	23.75	-110
-100	173.15	0.03157	1512.3	0.63807	62.56	315.98	0.3898	1.8534	1.213	0.625	1.29	921	159.5	419.2	8.48	152.9	6.82	21.53	-100
-90	183.15	0.06239	1475.7	0.33766	74.76	320.51	0.4582	1.8	1.225	0.661	1.294	866	162.4	349	9.03	142.4	7.42	19.35	-90
-80	193.15	0.1137	1437.9	0.19248	87.1	324.81	0.5236	1.7543	1.241	0.702	1.304	812	164.7	295.3	9.58	133.2	8.05	17.23	-80
-70	203.15	0.1937	1398.9	0.11652	99.64	328.79	0.5866	1.7146	1.262	0.75	1.319	758	166.3	253	10.12	125.1	8.73	15.16	-70
-60	213.15	0.31188	1358.1	0.07406	112.43	332.4	0.6476	1.6796	1.29	0.805	1.342	703	167.2	218.7	10.67	117.7	9.47	13.16	-60
-50	223.15	0.47893	1315.3	0.04895	125.53	335.52	0.7071	1.6482	1.325	0.87	1.375	648	167.3	190.3	11.22	110.8	10.3	11.22	-50
-40	233.15	0.70653	1269.7	0.03336	139.02	338.04	0.7655	1.6191	1.371	0.949	1.422	591	166.4	166	11.8	104.3	11.24	9.36	-40
-30	243.15	1.0074	1220.5	0.02328	153.03	339.82	0.8233	1.5915	1.432	1.048	1.49	534	164.4	144.9	12.42	98	12.33	7.58	-30
-20	253.15	1.3953	1166.6	0.01651	167.68	340.62	0.881	1.5642	1.517	1.182	1.593	474	161.3	126.1	13.1	91.8	13.63	5.88	-20
-10	263.15	1.8853	1105.9	0.01181	183.21	340.09	0.9395	1.5357	1.643	1.38	1.759	411	156.9	108.9	13.9	85.4	15.23	4.29	-10
0	273.15	2.4947	1035.1	0.00843	200	337.64	1	1.5039	1.853	1.715	2.061	345	151	92.5	14.94	78.5	17.29	2.83	0
10	283.15	3.2438	946.7	0.00589	218.84	332.01	1.065	1.4647	2.3	2.441	2.742	274	143.2	76.2	16.47	70.7	20.2	1.52	10
20	293.15	4.161	816.4	0.00381	242.36	319.17	1.143	1.405	4.13	5.429	5.602	193	132.5	57.9	19.51	60.2	25.25	0.44	20
