-77.65	195.5	0.00609	732.9	15.602	-143.15	1341.23	-0.4716	7.1213	4.202	2.063	1.325	2124	354.1	559.6	6.84	819	19.64	62.26	-77.65
-70	203.15	0.01094	724.7	9.0079	-110.81	1355.55	-0.3094	6.9088	4.245	2.086	1.327	2051	360.5	475	7.03	792.1	19.73	59.1	-70
-60	213.15	0.02189	713.6	4.7057	-68.06	1373.73	-0.104	6.6602	4.303	2.125	1.33	1967	368.4	391.3	7.3	757	19.93	55.05	-60
-50	223.15	0.04084	702.1	2.6277	-24.73	1391.19	0.0945	6.4396	4.36	2.178	1.335	1890	375.6	328.9	7.57	722.3	20.24	51.11	-50
-40	233.15	0.07169	690.2	1.5533	19.17	1407.76	0.2867	6.2425	4.414	2.244	1.342	1816	382.2	281.2	7.86	688.1	20.64	47.26	-40
-30	243.15	0.11943	677.8	0.96396	63.6	1423.31	0.473	6.0651	4.465	2.326	1.351	1744	388.1	244.1	8.15	654.6	21.15	43.52	-30
-20	253.15	0.19008	665.1	0.62373	108.55	1437.68	0.6538	5.9041	4.514	2.425	1.363	1673	393.2	214.4	8.45	622	21.77	39.88	-20
-10	263.15	0.29071	652.1	0.4183	154.01	1450.7	0.8293	5.7569	4.564	2.542	1.378	1602	397.5	190.2	8.75	590.1	22.5	36.34	-10
0	273.15	0.42938	638.6	0.2893	200	1462.24	1	5.621	4.617	2.68	1.398	1531	400.8	170.1	9.06	559.2	23.37	32.91	0
10	283.15	0.61505	624.6	0.20543	246.57	1472.11	1.1664	5.4946	4.676	2.841	1.422	1458	403.2	153	9.36	529.1	24.37	29.59	10
20	293.15	0.85748	610.2	0.1492	293.78	1480.16	1.3289	5.3759	4.745	3.03	1.453	1384	404.6	138.3	9.68	499.9	25.52	26.38	20
30	303.15	1.1672	595.2	0.11046	341.76	1486.17	1.4881	5.2631	4.828	3.25	1.492	1309	404.9	125.5	10	471.4	26.85	23.28	30
40	313.15	1.5554	579.4	0.0831	390.64	1489.91	1.6446	5.1549	4.932	3.51	1.541	1232	404	114	10.33	443.5	28.38	20.29	40
50	323.15	2.034	562.9	0.06335	440.62	1491.07	1.799	5.0497	5.064	3.823	1.605	1153	401.9	103.8	10.67	416.3	30.16	17.43	50
60	333.15	2.6156	545.2	0.0488	491.97	1489.27	1.9523	4.9458	5.235	4.208	1.687	1070	398.3	94.5	11.05	389.6	32.26	14.69	60
70	343.15	3.3135	526.3	0.03787	545.04	1483.94	2.1054	4.8415	5.465	4.699	1.799	984	393.3	85.9	11.47	363.2	34.8	12.08	70
80	353.15	4.142	505.7	0.02951	600.34	1474.31	2.2596	4.7344	5.784	5.355	1.955	895	386.5	78	11.95	337.1	38	9.61	80
90	363.15	5.1167	482.8	0.023	658.61	1459.19	2.4168	4.6213	6.25	6.291	2.187	800	377.9	70.5	12.55	311	42.24	7.3	90
100	373.15	6.2553	456.6	0.01782	721	1436.63	2.5797	4.4975	6.991	7.762	2.562	701	367	63.2	13.32	284.8	48.36	5.15	100
110	383.15	7.5783	425.6	0.0136	789.68	1403.08	2.7533	4.3542	8.36	10.46	3.26	594	353.3	56	14.42	258.1	58.33	3.2	110
120	393.15	9.1125	385.5	0.00999	869.92	1350.23	2.9502	4.1719	11.94	17.21	5.04	477	335.4	48.3	16.21	231.2	78.4	1.5	120
130	403.15	10.8977	312.3	0.00638	992.02	1239.32	3.2437	3.8571	54.21	76.49	20.66	334	306.6	37.3	20.63	221.9	160.39	0.18	130
